Begrip ;Afkorting ;Definitie ;Toelichting ;Bron ; 
---;---;---;---;---;
...    ; KEA       ; ...       ; ...         ;…;
Physiological Equivalent Temperature ; PET  ; ...       ;Gaat uit van de energiehuishouding van een mens. Tijdvak: 12:00 - 18:00 lokale tijd meest relevant voor evaluatie hittestress;…;
Sky View Factor ; SVF ; ...       ; The sky view factor (SVF) is essential to describe the urban climatology at scales below 100m. This proxy for net radiation depends on the height of the obstacles in its surroundings.;…;
Nationaal Kennis- en innovatieprogramma Water en Klimaat ; NKWK ; ...       ; Een consortium bestaande uit Nederlandse overheden, kennisinstellingen en bedr?ven, die samenwerken aan pilots, actuele vraagstukken en langeterm?nontwikkelingen. ;https://www.waterenklimaat.nl/ ;
Klimaatschadeschatter ; KSS ; Een tool voor schaderamingen op gemeentelijk schaalniveau in aansluiting op de stresstesten die gemeenten in 2019 moeten hebben uitgevoerd.;De KSS tool moet gemeenten en andere overheden in staat stellen om de uitkomsten van de stresstest te kunnen complementeren met een inschatting van de totale schade wanneer men niet zou adapteren. ;NKWK Klimaatbestendige stad onderzoeksprogramma 2018, p.11;
Klimaatadaptatie ;…;…;…;…;
Klimaatmitigatie ;…;…;…;…;
Hitte ;…;…;…;…;
Droogte ;…;…;…;…;
